Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,YearsAtCompany_Safe,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,CareerCluster,PromotionGapScore,RetentionOpportunityIndex,RetentionPriority,PCA1,PCA2
38,0,Non-Travel,1327,Sales,2,2,Life Sciences,4,Male,39,2,2,Sales Executive,4,Married,5249,19682,3,No,18,3,4,1,13,0,3,8,7,7,5,8.0,0.875,0.875,0.0,0.625,0,High,0.675,High Priority,1.5157483261946407,1.3058901047711915
32,0,Travel_Rarely,128,Research & Development,2,1,Technical Degree,4,Male,84,2,2,Laboratory Technician,1,Single,2176,19737,4,No,13,3,4,0,9,5,3,6,2,0,4,6.0,0.0,0.3333333333333333,0.8333333333333334,0.6666666666666666,1,Low,-2.7755575615628914e-17,Low Priority,-1.0994270974348408,-0.023040772593676866
46,0,Travel_Rarely,488,Sales,2,3,Technical Degree,3,Female,75,1,4,Manager,2,Married,16872,14977,3,Yes,12,3,2,1,28,2,2,7,7,7,7,7.0,1.0,1.0,0.2857142857142857,1.0,2,High,0.7428571428571428,High Priority,3.3907616544926547,0.3355945038250885
28,1,Travel_Rarely,529,Research & Development,2,4,Life Sciences,1,Male,79,3,1,Laboratory Technician,3,Single,3485,14935,2,No,11,3,3,0,5,5,1,0,0,0,0,0.1,0.0,0.0,50.0,0.0,4,Low,-10.0,Low Priority,-4.64343864136392,-3.122570572631703
29,0,Travel_Rarely,1210,Sales,2,3,Medical,1,Male,78,2,2,Sales Executive,2,Married,6644,3687,2,No,19,3,2,2,10,2,3,0,0,0,0,0.1,0.0,0.0,20.0,0.0,4,Low,-4.0,Low Priority,-3.13649834546043,-2.548370940028028
31,0,Travel_Rarely,1463,Research & Development,23,3,Medical,2,Male,64,2,2,Healthcare Representative,4,Married,5582,14408,0,No,21,4,2,1,10,2,3,9,0,7,8,9.0,0.7777777777777778,0.0,0.2222222222222222,0.8888888888888888,0,High,0.35555555555555557,Medium Priority,0.7199530491048369,0.20546163190816147
25,0,Non-Travel,675,Research & Development,5,2,Life Sciences,2,Male,85,4,2,Healthcare Representative,1,Divorced,4000,18384,1,No,12,3,4,2,6,2,3,6,3,1,5,6.0,0.16666666666666666,0.5,0.3333333333333333,0.8333333333333334,1,Medium,0.23333333333333336,Low Priority,-0.3305379628013495,0.48768007554305387
45,0,Travel_Rarely,1385,Research & Development,20,2,Medical,3,Male,79,3,4,Healthcare Representative,4,Married,13496,7501,0,Yes,14,3,2,0,21,2,3,20,7,4,10,20.0,0.2,0.35,0.1,0.5,2,Low,0.21499999999999997,Low Priority,2.945277310303381,-2.0285652165251102
36,0,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,4,Male,47,3,1,Laboratory Technician,4,Married,3210,20251,0,No,11,3,3,1,16,4,3,15,13,10,11,15.0,0.6666666666666666,0.8666666666666667,0.26666666666666666,0.7333333333333333,3,High,0.5466666666666666,Medium Priority,3.2138517750288855,1.8254457624442035
55,0,Travel_Rarely,452,Research & Development,1,3,Medical,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Yes,14,3,3,0,37,2,3,36,10,4,13,36.0,0.1111111111111111,0.2777777777777778,0.05555555555555555,0.3611111111111111,2,Low,0.15277777777777776,Low Priority,5.213042580157287,-3.658853048789871
47,1,Non-Travel,666,Research & Development,29,4,Life Sciences,1,Male,88,3,3,Manager,2,Married,11849,10268,1,Yes,12,3,4,1,10,2,2,10,7,9,9,10.0,0.9,0.7,0.2,0.9,2,High,0.62,High Priority,3.13145176149105,0.48172808286851965
28,0,Travel_Rarely,1158,Research & Development,9,3,Medical,4,Male,94,3,1,Research Scientist,4,Married,2070,2613,1,No,23,4,4,1,5,3,2,5,2,0,4,5.0,0.0,0.4,0.6,0.8,1,Low,0.08000000000000002,Low Priority,-1.3390053025328794,0.6912129417290249
37,0,Travel_Rarely,228,Sales,6,4,Medical,3,Male,98,3,2,Sales Executive,4,Married,6502,22825,4,No,14,3,2,1,7,5,4,5,4,0,1,5.0,0.0,0.8,1.0,0.2,1,High,0.059999999999999984,Low Priority,-0.9966664871428991,-0.3946930815204179
21,0,Travel_Rarely,996,Research & Development,3,2,Medical,4,Male,100,2,1,Research Scientist,3,Single,3230,10531,1,No,17,3,1,0,3,4,4,3,2,1,0,3.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.0,1,Medium,0.06666666666666665,Low Priority,-1.9040499142792153,0.12499828782403069
37,0,Non-Travel,728,Research & Development,1,4,Medical,1,Female,80,3,3,Research Director,4,Divorced,13603,11677,2,Yes,18,3,1,2,15,2,3,5,2,0,2,5.0,0.0,0.4,0.4,0.4,1,Low,0.07999999999999999,Low Priority,-0.44708547552443384,-1.7105486796274765
35,0,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,2,Female,71,4,3,Manager,2,Divorced,11996,19100,7,No,18,3,2,1,10,6,2,7,7,6,2,7.0,0.8571428571428571,1.0,0.8571428571428571,0.2857142857142857,0,High,0.49999999999999994,Medium Priority,1.5682378128262884,-0.06391896153907771
38,0,Travel_Rarely,322,Sales,7,2,Medical,1,Female,44,4,2,Sales Executive,1,Divorced,5605,19191,1,Yes,24,4,3,1,8,3,3,8,0,7,7,8.0,0.875,0.0,0.375,0.875,0,High,0.36250000000000004,Medium Priority,0.5780110191404438,0.2782352289614663
26,0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,No,20,4,1,1,6,6,1,6,5,1,4,6.0,0.16666666666666666,0.8333333333333334,1.0,0.6666666666666666,1,High,0.1833333333333333,Low Priority,0.022431632427508532,0.5011296471764366
50,0,Travel_Rarely,797,Research & Development,4,1,Life Sciences,1,Male,96,3,5,Research Director,2,Divorced,19144,15815,3,No,14,3,1,2,28,4,2,10,4,1,6,10.0,0.1,0.4,0.4,0.6,2,Low,0.13999999999999999,Low Priority,1.8186098357636789,-2.6612234495603837
53,0,Travel_Rarely,1070,Research & Development,3,4,Medical,3,Male,45,3,4,Research Director,3,Married,17584,21016,3,Yes,16,3,4,3,21,5,2,5,3,1,3,5.0,0.2,0.6,1.0,0.6,1,Medium,0.12,Low Priority,0.7781783846076699,-1.7051236557686908
42,0,Travel_Rarely,635,Sales,1,1,Life Sciences,2,Male,99,3,2,Sales Executive,3,Married,4907,24532,1,No,25,4,3,0,20,3,3,20,16,11,6,20.0,0.55,0.8,0.15,0.3,2,High,0.4600000000000001,Medium Priority,3.486289765307858,0.31055292207634044
29,0,Travel_Frequently,442,Sales,2,2,Life Sciences,2,Male,44,3,2,Sales Executive,4,Single,4554,20260,1,No,18,3,1,0,10,3,2,10,7,0,9,10.0,0.0,0.7,0.3,0.9,3,Medium,0.24,Low Priority,0.8534257427294497,0.6792870840085894
55,0,Travel_Rarely,147,Research & Development,20,2,Technical Degree,2,Male,37,3,2,Laboratory Technician,4,Married,5415,15972,3,Yes,19,3,4,1,12,4,3,10,7,0,8,10.0,0.0,0.7,0.4,0.8,3,Medium,0.21,Low Priority,0.7335734861283361,0.4413781694994975
26,0,Travel_Frequently,496,Research & Development,11,2,Medical,1,Male,60,3,2,Healthcare Representative,1,Married,4741,22722,1,Yes,13,3,3,1,5,3,3,5,3,3,3,5.0,0.6,0.6,0.6,0.6,0,High,0.36,Medium Priority,-0.20723067160438427,0.6245952115587797
37,0,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,4,Female,42,3,1,Research Scientist,4,Single,2115,15881,1,No,12,3,2,0,17,3,3,17,12,5,7,17.0,0.29411764705882354,0.7058823529411765,0.17647058823529413,0.4117647058823529,3,Medium,0.33529411764705885,Medium Priority,1.6577991551511067,0.7564018977524994
44,1,Travel_Frequently,920,Research & Development,24,3,Life Sciences,4,Male,43,3,1,Laboratory Technician,3,Divorced,3161,19920,3,Yes,22,4,4,1,19,0,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,4,Low,0.0,Low Priority,-2.922157173575669,-1.0414007409139028
38,0,Travel_Rarely,688,Research & Development,23,4,Life Sciences,4,Male,82,3,2,Healthcare Representative,4,Divorced,5745,18899,9,No,14,3,2,1,10,2,3,2,2,1,2,2.0,0.5,1.0,1.0,1.0,0,High,0.4,Medium Priority,-0.38752487092764626,1.592514050455666
26,1,Travel_Rarely,1449,Research & Development,16,4,Medical,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,14180,2,Yes,13,3,4,1,5,2,3,3,2,0,2,3.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,Medium,0.1333333333333333,Low Priority,-1.6056279841087615,0.8790172807647059
28,0,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,4,Female,66,3,1,Research Scientist,4,Single,3310,4488,1,No,21,4,4,0,5,3,3,5,3,0,2,5.0,0.0,0.6,0.6,0.4,1,Medium,0.1,Low Priority,-1.488702570282275,0.29212001022259837
49,0,Travel_Frequently,636,Research & Development,10,4,Life Sciences,3,Female,35,3,5,Research Director,1,Single,18665,25594,9,Yes,11,3,4,0,22,4,3,3,2,1,2,3.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1,Medium,0.1333333333333333,Low Priority,0.9170083181616602,-1.8719408805722582
36,0,Travel_Rarely,506,Research & Development,3,3,Technical Degree,3,Male,30,3,2,Research Scientist,2,Single,4485,26285,4,No,12,3,4,0,10,2,3,8,0,7,7,8.0,0.875,0.0,0.25,0.875,0,High,0.38750000000000007,Medium Priority,0.5074961464454848,0.3853267221501213
31,0,Travel_Frequently,444,Sales,5,3,Marketing,4,Female,84,3,1,Sales Representative,2,Divorced,2789,3909,1,No,11,3,3,1,2,5,2,2,2,2,2,2.0,1.0,1.0,2.5,1.0,0,High,0.29999999999999993,Low Priority,-0.5438178751142656,2.644543058836031
26,1,Travel_Rarely,950,Sales,4,4,Marketing,4,Male,48,2,2,Sales Executive,4,Single,5828,8450,1,Yes,12,3,2,0,8,0,3,8,7,7,4,8.0,0.875,0.875,0.0,0.5,0,High,0.6625000000000001,High Priority,1.3655517365553331,1.0632828008158572
37,0,Travel_Frequently,889,Research & Development,9,3,Medical,2,Male,53,3,1,Research Scientist,4,Married,2326,11411,1,Yes,12,3,3,3,4,3,2,4,2,1,2,4.0,0.25,0.5,0.75,0.5,1,Medium,0.14999999999999997,Low Priority,-1.4951839566375995,0.6148598518773066
42,0,Travel_Frequently,555,Sales,26,3,Marketing,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,No,14,3,4,1,23,2,4,20,4,4,8,20.0,0.2,0.2,0.1,0.4,2,Low,0.16000000000000003,Low Priority,2.2254545710506495,-2.4672917908084555
18,1,Travel_Rarely,230,Research & Development,3,3,Life Sciences,3,Male,54,3,1,Laboratory Technician,3,Single,1420,25233,1,No,13,3,3,0,0,2,3,0,0,0,0,0.1,0.0,0.0,20.0,0.0,4,Low,-4.0,Low Priority,-3.776394550967168,-1.6861585222866502
35,0,Travel_Rarely,1232,Sales,16,3,Marketing,3,Male,96,3,3,Sales Executive,2,Married,8020,5100,0,No,15,3,3,2,12,3,2,11,9,6,9,11.0,0.5454545454545454,0.8181818181818182,0.2727272727272727,0.8181818181818182,3,High,0.4909090909090909,Medium Priority,2.6646814939953294,0.5535585337902121
36,0,Travel_Frequently,566,Research & Development,18,4,Life Sciences,3,Male,81,4,1,Laboratory Technician,4,Married,3688,7122,4,No,18,3,4,2,4,2,3,1,0,0,0,1.0,0.0,0.0,2.0,0.0,4,Low,-0.4,Low Priority,-2.953992471379308,-1.172580165868256
51,0,Travel_Rarely,1302,Research & Development,2,3,Medical,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482,16321,5,No,18,3,4,1,13,3,3,4,1,1,2,4.0,0.25,0.25,0.75,0.5,1,Low,0.07499999999999997,Low Priority,-1.2577731951390627,-0.4308561984816574
41,0,Travel_Rarely,334,Sales,2,4,Life Sciences,4,Male,88,3,4,Manager,2,Single,16015,15896,1,No,19,3,2,0,22,2,3,22,10,0,4,22.0,0.0,0.45454545454545453,0.09090909090909091,0.18181818181818182,2,Low,0.13636363636363635,Low Priority,2.223448901087703,-2.855620586221519
18,0,Travel_Rarely,812,Sales,10,3,Medical,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,No,12,3,1,0,0,2,3,0,0,0,0,0.1,0.0,0.0,20.0,0.0,4,Low,-4.0,Low Priority,-3.7910680470519758,-1.6661445751507848
28,0,Travel_Rarely,1476,Research & Development,16,2,Medical,2,Male,68,4,2,Healthcare Representative,1,Single,5661,4824,0,No,19,3,3,0,9,2,3,8,3,0,7,8.0,0.0,0.375,0.25,0.875,1,Low,0.15,Low Priority,-0.10422748699958716,0.04138819115655397
31,0,Travel_Rarely,218,Sales,7,3,Technical Degree,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4,No,11,3,2,1,10,3,2,8,7,7,7,8.0,0.875,0.875,0.375,0.875,0,High,0.6250000000000001,High Priority,1.9928699192114538,1.5173178713200848
39,0,Travel_Rarely,1132,Research & Development,1,3,Medical,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,No,17,3,1,3,19,5,2,18,10,3,7,18.0,0.16666666666666666,0.5555555555555556,0.2777777777777778,0.3888888888888889,3,Medium,0.21666666666666667,Low Priority,2.179551890118655,-1.1342275662492833
36,0,Non-Travel,1105,Research & Development,24,4,Life Sciences,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,7,No,15,3,3,1,11,3,3,9,8,0,8,9.0,0.0,0.8888888888888888,0.3333333333333333,0.8888888888888888,3,High,0.2888888888888889,Low Priority,0.9656029037258623,0.8574353211722386
32,0,Travel_Rarely,906,Sales,7,3,Life Sciences,4,Male,91,2,2,Sales Executive,3,Married,5484,16985,1,No,14,3,3,1,13,3,2,13,8,4,8,13.0,0.3076923076923077,0.6153846153846154,0.23076923076923078,0.6153846153846154,3,Medium,0.3230769230769231,Medium Priority,1.5176514198180113,0.2895180257143075
38,0,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,Female,81,2,3,Research Director,2,Married,12061,26707,3,No,17,3,3,1,19,2,3,10,8,0,1,10.0,0.0,0.8,0.2,0.1,1,High,0.21,Low Priority,0.43200203855010355,-1.4710763558618483
58,0,Non-Travel,390,Research & Development,1,4,Life Sciences,4,Male,32,1,2,Healthcare Representative,3,Divorced,5660,17056,2,Yes,13,3,4,1,12,2,3,5,3,1,2,5.0,0.2,0.6,0.4,0.4,1,Medium,0.22,Low Priority,-0.813433397312006,-0.11493001717242868
31,0,Travel_Rarely,691,Research & Development,5,4,Technical Degree,3,Male,86,3,1,Research Scientist,4,Married,4821,10077,0,Yes,12,3,3,1,6,4,3,5,2,0,3,5.0,0.0,0.4,0.8,0.6,1,Low,0.019999999999999962,Low Priority,-1.3956874517614257,0.13914627264686846
31,0,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,Male,62,2,2,Human Resources,1,Married,6410,17822,3,No,12,3,4,0,9,1,3,2,2,1,0,2.0,0.5,1.0,0.5,0.0,1,High,0.4,Medium Priority,-1.1505986283257446,0.1375237999843887
45,0,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,Male,97,3,3,Laboratory Technician,1,Divorced,5210,20308,1,No,18,3,1,1,24,2,3,24,9,9,11,24.0,0.375,0.375,0.08333333333333333,0.4583333333333333,2,Medium,0.2916666666666667,Low Priority,3.3640366743602312,-0.7994319276084407
31,0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Yes,18,3,2,1,3,2,1,2,2,2,2,2.0,1.0,1.0,1.0,1.0,0,High,0.6,High Priority,-0.49984871678177134,2.7155221658487076
33,0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,4,Female,74,3,3,Manager,2,Married,11878,23364,6,No,11,3,2,2,12,2,3,10,6,8,8,10.0,0.8,0.6,0.2,0.8,2,High,0.54,Medium Priority,2.6186640098711926,0.07061301596535419
39,0,Travel_Rarely,117,Research & Development,10,1,Medical,3,Male,99,3,4,Manager,1,Married,17068,5355,1,Yes,14,3,4,0,21,3,3,21,9,11,10,21.0,0.5238095238095238,0.42857142857142855,0.14285714285714285,0.47619047619047616,2,Medium,0.35714285714285715,Medium Priority,4.472926804130681,-1.9545928191836723
43,0,Travel_Frequently,185,Research & Development,10,4,Life Sciences,3,Female,33,3,1,Laboratory Technician,4,Single,2455,10675,0,No,19,3,1,0,9,5,3,8,7,1,7,8.0,0.125,0.875,0.625,0.875,3,High,0.275,Low Priority,0.3157535401342314,1.5983728573280824
49,0,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,3,Female,90,2,4,Healthcare Representative,3,Single,13964,17810,7,Yes,12,3,4,0,25,2,3,7,1,0,7,7.0,0.0,0.14285714285714285,0.2857142857142857,1.0,1,Low,0.08571428571428572,Low Priority,0.6691659910246615,-1.6506783288879276
52,1,Travel_Rarely,723,Research & Development,8,4,Medical,3,Male,85,2,2,Research Scientist,2,Married,4941,17747,2,No,15,3,1,0,11,3,2,8,2,7,7,8.0,0.875,0.25,0.375,0.875,0,High,0.43750000000000006,Medium Priority,0.9127383493979042,0.7270781646374832
27,0,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,3,Female,85,3,1,Research Scientist,2,Single,2478,20938,1,Yes,12,3,2,0,4,2,2,4,3,1,2,4.0,0.25,0.75,0.5,0.5,1,High,0.27499999999999997,Low Priority,-1.2121182001489637,0.983071385090292
32,0,Travel_Rarely,588,Sales,8,2,Technical Degree,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Yes,11,3,4,0,13,2,3,13,12,11,9,13.0,0.8461538461538461,0.9230769230769231,0.15384615384615385,0.6923076923076923,3,High,0.6538461538461539,High Priority,3.382633031250029,1.4566470642569205
27,0,Travel_Rarely,1377,Sales,2,3,Life Sciences,4,Male,74,3,2,Sales Executive,3,Single,4478,5242,1,Yes,11,3,1,0,5,3,3,5,4,0,4,5.0,0.0,0.8,0.6,0.8,1,High,0.2,Low Priority,-0.4178585061985489,0.6865156118885898
31,0,Travel_Rarely,691,Sales,7,3,Marketing,4,Male,73,3,2,Sales Executive,4,Divorced,7547,7143,4,No,12,3,4,3,13,3,3,7,7,1,7,7.0,0.14285714285714285,1.0,0.42857142857142855,1.0,3,High,0.37142857142857144,Medium Priority,1.044284420822911,1.1518218215838023
32,0,Travel_Rarely,1018,Research & Development,2,4,Medical,1,Female,74,4,2,Research Scientist,4,Single,5055,10557,7,No,16,3,3,0,10,0,2,7,7,0,7,7.0,0.0,1.0,0.0,1.0,3,High,0.4,Medium Priority,0.7029607040182119,1.2630134228811098
28,1,Travel_Rarely,1157,Research & Development,2,4,Medical,1,Male,84,1,1,Research Scientist,4,Married,3464,24737,5,Yes,13,3,4,0,5,4,2,3,2,2,2,3.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,0,High,0.26666666666666666,Low Priority,-0.9702769834918373,1.365620298040771
30,0,Travel_Rarely,1275,Research & Development,28,2,Medical,4,Female,64,3,2,Research Scientist,4,Married,5775,11934,1,No,13,3,4,2,11,2,3,10,8,1,9,10.0,0.1,0.8,0.2,0.9,3,High,0.33,Medium Priority,1.2790051458042826,0.8254286313984993
31,0,Travel_Frequently,798,Research & Development,7,2,Life Sciences,3,Female,48,2,3,Manufacturing Director,3,Married,8943,14034,1,No,24,4,1,1,10,2,3,10,9,8,9,10.0,0.8,0.9,0.2,0.9,3,High,0.64,High Priority,3.1203295158263846,0.9692431486177657
39,0,Travel_Frequently,672,Research & Development,7,2,Medical,3,Male,54,2,5,Manager,4,Married,19272,21141,1,No,15,3,1,1,21,2,3,21,9,13,3,21.0,0.6190476190476191,0.42857142857142855,0.09523809523809523,0.14285714285714285,2,High,0.37142857142857144,Medium Priority,4.189738270479937,-3.028567325411441
39,1,Travel_Rarely,1162,Sales,3,2,Medical,4,Female,41,3,2,Sales Executive,3,Married,5238,17778,4,Yes,18,3,1,0,12,3,2,1,0,0,0,1.0,0.0,0.0,3.0,0.0,4,Low,-0.6000000000000001,Low Priority,-2.5926361458377047,-1.7421781285983091
33,0,Travel_Frequently,508,Sales,10,3,Marketing,2,Male,46,2,2,Sales Executive,4,Single,4682,4317,3,No,14,3,3,0,9,6,2,7,7,0,1,7.0,0.0,1.0,0.8571428571428571,0.14285714285714285,1,High,0.14285714285714285,Low Priority,-0.5473048974754995,-0.026251398100897223
47,0,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,4,Male,42,3,5,Research Director,3,Married,18300,16375,4,No,11,3,2,1,21,2,3,3,2,1,1,3.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1,Medium,0.2333333333333333,Low Priority,0.6021371835030767,-2.2885451569681248
43,0,Travel_Frequently,559,Research & Development,10,4,Life Sciences,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1,No,11,3,2,1,9,3,4,9,7,0,0,9.0,0.0,0.7777777777777778,0.3333333333333333,0.0,1,High,0.16666666666666669,Low Priority,-0.6877404736358793,-0.6452110466222714
27,0,Non-Travel,210,Sales,1,1,Marketing,3,Male,73,3,2,Sales Executive,2,Married,6349,22107,0,Yes,13,3,4,1,6,0,3,5,4,1,4,5.0,0.2,0.8,0.0,0.8,1,High,0.4,Medium Priority,-0.05260790912997099,0.7266609363721664
54,0,Travel_Frequently,928,Research & Development,20,4,Life Sciences,4,Female,31,3,2,Research Scientist,3,Single,4869,16885,3,No,12,3,4,0,20,4,2,4,3,0,3,4.0,0.0,0.75,1.0,0.75,1,High,0.09999999999999998,Low Priority,-0.7620824750660633,0.4893666215007685
43,0,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,3,Female,43,3,3,Healthcare Representative,1,Married,9985,9262,8,No,16,3,1,1,10,1,2,1,0,0,0,1.0,0.0,0.0,1.0,0.0,4,Low,-0.2,Low Priority,-1.917569757053508,-2.4777597457343936
45,0,Travel_Rarely,549,Research & Development,8,4,Other,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,No,14,3,1,2,12,3,3,10,9,9,8,10.0,0.9,0.9,0.3,0.8,0,High,0.6500000000000001,High Priority,2.467981377072469,1.768197090179304
40,0,Travel_Rarely,1124,Sales,1,2,Medical,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Yes,22,4,3,3,6,2,2,4,3,0,2,4.0,0.0,0.75,0.5,0.5,1,High,0.175,Low Priority,-0.8359612611965366,-0.08776756267452185
29,1,Travel_Rarely,318,Research & Development,8,4,Other,2,Male,77,1,1,Laboratory Technician,1,Married,2119,4759,1,Yes,11,3,4,0,7,4,2,7,7,0,7,7.0,0.0,1.0,0.5714285714285714,1.0,3,High,0.2857142857142857,Low Priority,0.19653028902269995,1.8932988120336989
29,0,Travel_Rarely,738,Research & Development,9,5,Other,2,Male,30,2,1,Laboratory Technician,4,Single,3983,7621,0,No,17,3,3,0,4,2,3,3,2,2,2,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,High,0.4,Medium Priority,-0.9133325420410199,1.346151218735944
30,0,Travel_Rarely,570,Sales,5,3,Marketing,4,Female,30,2,2,Sales Executive,3,Divorced,6118,5431,1,No,13,3,3,3,10,2,3,10,9,1,2,10.0,0.1,0.9,0.2,0.2,1,High,0.29000000000000004,Low Priority,0.25887216512450845,-0.1349778552002725
27,0,Travel_Rarely,1130,Sales,8,4,Marketing,2,Female,56,3,2,Sales Executive,2,Married,6214,3415,1,No,18,3,1,1,8,3,3,8,7,0,7,8.0,0.0,0.875,0.375,0.875,3,High,0.275,Low Priority,0.6864990031218312,0.7627525067272349
37,0,Travel_Rarely,1192,Research & Development,5,2,Medical,4,Male,61,3,2,Manufacturing Director,4,Divorced,6347,23177,7,No,16,3,3,2,8,2,2,6,2,0,4,6.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1,Low,0.09999999999999999,Low Priority,-0.8044847035343605,-0.3816777847134753
38,0,Travel_Rarely,343,Research & Development,15,2,Life Sciences,3,Male,92,2,3,Research Director,4,Divorced,11510,15682,0,Yes,14,3,2,1,12,3,3,11,10,2,9,11.0,0.18181818181818182,0.9090909090909091,0.2727272727272727,0.8181818181818182,3,High,0.37272727272727274,Medium Priority,2.4209803205492872,0.03772347721580013
31,0,Travel_Rarely,1232,Research & Development,7,4,Medical,3,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Yes,14,3,3,0,11,2,2,11,9,4,10,11.0,0.36363636363636365,0.8181818181818182,0.18181818181818182,0.9090909090909091,3,High,0.44545454545454544,Medium Priority,2.4549914224813434,0.6079072090625267
29,0,Travel_Rarely,144,Sales,10,1,Marketing,4,Female,39,2,2,Sales Executive,2,Divorced,8268,11866,1,Yes,14,3,1,2,7,2,3,7,7,1,7,7.0,0.14285714285714285,1.0,0.2857142857142857,1.0,3,High,0.4,Medium Priority,1.0971581115480866,1.092176153064299
35,0,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,3,Male,62,3,3,Manufacturing Director,2,Single,8095,18264,0,No,13,3,4,0,17,5,3,16,6,0,13,16.0,0.0,0.375,0.3125,0.8125,3,Low,0.13124999999999998,Low Priority,1.8861334337366722,-0.7351467297177785
23,0,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,3,Male,83,3,1,Research Scientist,4,Divorced,2904,16092,1,No,12,3,3,2,4,2,2,4,2,0,2,4.0,0.0,0.5,0.5,0.5,1,Medium,0.09999999999999999,Low Priority,-1.6956578844556227,0.34176758060774437
41,0,Travel_Rarely,483,Research & Development,6,3,Medical,4,Male,95,2,2,Manufacturing Director,2,Single,6032,10110,6,Yes,15,3,4,0,8,3,3,5,4,1,2,5.0,0.2,0.8,0.6,0.4,1,High,0.24000000000000002,Low Priority,-0.5607846780999919,0.14357280751996912
47,0,Travel_Frequently,1309,Sales,4,1,Medical,2,Male,99,3,2,Sales Representative,3,Single,2976,25751,3,No,19,3,1,0,5,3,3,0,0,0,0,0.1,0.0,0.0,30.0,0.0,4,Low,-6.0,Low Priority,-3.716070497308361,-2.630868479357249
42,0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,No,14,3,2,0,16,2,3,1,0,0,0,1.0,0.0,0.0,2.0,0.0,4,Low,-0.4,Low Priority,-1.258941740375601,-3.4528220829396847
29,0,Non-Travel,746,Sales,2,3,Life Sciences,4,Male,61,3,2,Sales Executive,3,Married,4649,16928,1,No,14,3,1,1,4,3,2,4,3,0,2,4.0,0.0,0.75,0.75,0.5,1,High,0.12499999999999996,Low Priority,-1.031621553243474,0.1572785652292992
42,0,Travel_Rarely,544,Human Resources,2,1,Technical Degree,3,Male,52,3,1,Human Resources,3,Divorced,2696,24017,0,Yes,11,3,3,1,4,5,3,3,2,1,0,3.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,1,Medium,-5.551115123125783e-17,Low Priority,-1.9508306562558952,0.15970477515278544
32,0,Travel_Rarely,1062,Research & Development,2,3,Medical,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,No,13,3,3,1,8,4,3,8,0,0,7,8.0,0.0,0.0,0.5,0.875,1,Low,-0.012499999999999997,Low Priority,-1.1920920579503438,0.13469036954310817
